A3MUSDLIBORVariablerate
AccruedInterestPayableNonCurrent
AccruedInterestRateOnGrant
AccruedInterestReceivableFairValueDisclosure
AccruedInterestReceived
AccruedInventoriesInTransit
AccruedInventoryInTransit
AccruedInvestoriesInTransit




AccruedLiabilitiesAndPrepaidExpensesNet

AccruedLiabilitiesCurrentNotSubjectToCompromise
AccruedLiabilitiesFairValueDisclosure
AccruedLiabilitiesPeriodIncreaseDecrease
AccruedLiabilitiesfromAcquisitionCurrent

AccruedLiabilityRelatedToPurchaseOfNonControllingInterest
AccruedLicenseContentFeesCurrent
AccruedLicenseFees
AccruedLicensesAndRegulatoryFeesCurrent
AccruedLitigationLiabilitiesCurrent
AccruedMedicalClaimsCurrent
AccruedOfferingCost
AccruedOfferingCosts
AccruedOperatingExpensesCurrent
AccruedOutsideServices
AccruedPayrollAndSeveranceCurrent
AccruedPayrollTaxesCurrent
AccruedPayrollTaxesCurrentAndNoncurrent
AccruedPlantClosureCurrent
AccruedProfessionalFeesCurrent
AccruedProfessionalFeesCurrentAndNoncurrent
AccruedPropertyAndEquipmentPurchases
AccruedRentCurrent
AccruedRentNoncurrent
AccruedResearchAndDevelopment
AccruedResearchAndDevelopmentExpensesCurrent
AccruedResearchProjects
AccruedRetirementAndOtherBenefits
AccruedRevenue
AccruedRoyaltiesCurrent



AccruedSalariesOfViesWithoutRecourseToTheCompany
AccruedSalariesWagesAndCommissionsCurrent
AccruedSalesCommissionCurrent
AccruedSalesCommissionCurrentAndNoncurrent
AccruedSalesIncentivesCurrent
AccruedSalesTaxReceivable
AccruedShipOperatingExpenses
AccruedSubcontractorProgramCostsCurrent
AccruedTaxWithHoldingOnVestingOfRestrictedShareUnitsValue
AccruedTradeSpendCurrent
AccruedTransactionCostsCurrent
AccruedVacationCurrent
AccruedVacationCurrentAndNoncurrent
AccruedValueAddedTaxCurrent
AccruedValveInstallationIncentiveCurrent
AccruedVesselOperatingExpense
AccruedVoyageExpenses

AccumulatedAmortizationDeferredFinanceCosts
AccumulatedAmortizationOfInterest
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts
AccumulatedAmortizationOfPresentValueOfFutureProfits
AccumulatedAmortizationOfUnfavorableContractsToBeAmortized
AccumulatedCapitalizedInterestCosts

AccumulatedDepreciationAndImpairmentAssetsClassifiedAsHfs
AccumulatedDepreciationAndImpairmentDisposedAssets


AccumulatedDepreciationDepletionAndAmortizationJackUpRigs
AccumulatedDepreciationDepletionAndAmortizationOtherAssets
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1
AccumulatedDepreciationExpenseOnCapitalizedDryDockingCosts
AccumulatedDepreciationFinancialLease
AccumulatedDepreciationInvestmentProperty
AccumulatedDepreciationonTangibleAssetImpairmentCharges
AccumulatedImpactOnRetainedEarningsDueToObtainingInjunction
AccumulatedImpairmentLossOfIntangibleAssets
AccumulatedImpairmentLosses
AccumulatedImpairmentLossesOnGoodwill
AccumulatedImpairmentOfIntangibleAssetsIndefiniteLivedExcludingGoodwill

AccumulatedOtherComprehensiveIncomeDeferredGainLossOnForeignCurrencyForwardContracts

AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentDeferredTaxAndNonControllingInterest
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentDeferredTaxAndNoncontrollingInterest
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentOtherChange
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentPreTax
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentPretax
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentTaxExpenseBenefit
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentsBeforeTax

AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansTax
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansTaxBenefitExpense

AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentOtherChange

AccumulatedOtherComprehensiveIncomeLossInterestRateSwapsAdjustmentTaxExpenseBenefit

AccumulatedOtherComprehensiveIncomeLossOtherChange
AccumulatedOtherComprehensiveIncomeLossOtherIncludingtheImpactoftheTaxCutsandJobsActof2017andtheSaleofRedeemableNoncontrollingInterestsinSubsidiariesNetofTax
AccumulatedOtherComprehensiveIncomeLossOtherNetUnrealizedGainsLossesOnSecurities
AccumulatedOtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentsBeforeTax

AccumulatedOtherComprehensiveIncomeLossUnrealizedGainLossOnInterestRateSwapContractsNetOfTax
AccumulatedPreferredDividends
AccumulatedUnrealizedGainOnForeignCurrencyDerivativesBeforeTax
AccumulatedUnrealizedLossOnForeignCurrencyDerivativesBeforeTax
AccumulatedWriteOffOfCapitalizedDryDockingCosts
Accumulatedamortisationofdeferredfinancecosts
Accumulatedamortisationofunfavourablecontracts
Accumulatedamortizationofdeferredfinancecosts
AccumulateddepreciationonCapitalLeasesacquiredinmerger
Acquired100OfAGeorgiaSoleProprietorshipDbaInvestorWebcastCastExchangeForSeriesBConvertiblePreferredSharesOfMentor
Acquired100OfAGeorgiaSoleProprietorshipDbaInvestorWebcastCastValued
AcquiredDTAFromMajorityInterestOwnership
AcquiredEntityMinorityShareholdersExchangeCompensationPerShareAmount
AcquiredEntityMinorityShareholdersRecurringCompensationPerShareAmount
AcquiredFiniteLivedIntangibleAssetAmount
AcquiredFiniteLivedIntangibleAssetCustomerContractsAndRelatedRelationshipsUsefulLife
AcquiredFiniteLivedIntangibleAssetDevelopedTechnologyPatentsReacquiredRightsUsefulLife
AcquiredFiniteLivedIntangibleAssetResidualValue
AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife
AcquiredOwnershipInBhangChocolateCompanyInc
AcquisitionAndBridgeFinancingCosts
AcquisitionAndTransitionCosts
AcquisitionAndTransitionCostsRelatedToIcg
AcquisitionCosts
AcquisitionEarnOutLiability
AcquisitionOfContractsCashPaid
AcquisitionOfContractsDebtAssumed
AcquisitionOfContractsFairMarketValue
AcquisitionOfContractsNewbuildingCommitmentsAssumed
AcquisitionOfGoedekerTelevisionCo
AcquisitionOfGoedekerTelevisionCo.
AcquisitionOfGrapevine
AcquisitionOfGuangMing
AcquisitionOfGuangmin
AcquisitionOfLongTermInvestmentThroughTransferOfGameIpRights
AcquisitionOfLongTermInvestmentThroughTransferRofGameIpRights
AcquisitionOfMarketableSecuritiesTransactionPrice
AcquisitionOfNoncontrollingInterestAndOtherActivity
AcquisitionOfNotes
AcquisitionOfOperatingLeaseAssets
AcquisitionOfOutstandingNoncontrollingInterest
AcquisitionOfPropertyCommitmentZeroThreeTwoNineFourZeroRnxJrNineDVypDs
AcquisitionOfPropertyCommitmentZeroThreeTwoNineFourZeroTfbHLwbxFlnx
AcquisitionOfPropertyCommitmentZeroThreeTwoZeroNineZeroLCgySevengzPpTTJ
AcquisitionOfPropertyCommitmentZeroThreeTwoZeroNineZeroXvTSvHszNineStTwo
AcquisitionOfSharesUnderSecuritiesPurchaseAgreement
AcquisitionOrbitalRightLiabilitiesCurrent
AcquisitionRelatedGains
AcquisitionRelatedLiabilities
AcquisitiondateFairValueOfTotalConsiderationTransferred
AcquisitionofAssetsNewbuildingInstallmentsAssumed
AcquisitionsInvestmentPropertyAmount
AcquisitionsOfVessels
AcquisitionsThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill
AcquisitionsThroughBusinessCombinationsOtherProvisions
AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment
AcqusitionsAndIncreaseInPaidInCapitalEquityMethodInvestments
ActualAnnualRateOfReturnOnPensionPlanAssets
ActualRation
ActuarialAssumptionOfDiscountRates
ActuarialAssumptionOfExpectedRatesOfPensionIncreases
ActuarialAssumptionOfExpectedRatesOfSalaryIncreases
ActuarialAssumptionOfMortalityRates
ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsNetDefinedBenefitLiabilityAsset
ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset
ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset
AdditionOperatingLeaseLiabilityAndRightOfUseAsset
AdditionToDebtArisingFromNonCashSettlementOfFinancingFee
AdditionToLongTermDebtArisingFromAcquisitionOfNewbuildings
AdditionToLongTermDebtArisingFromNonCashSettlementOfDeferredAmendments
AdditionToLongTermDebtArisingFromNonCashSettlementOfNewbuildDeliveryInstallment
AdditionToNewbuildJackupRigs
AdditionalAllowanceForTenantImprovements
AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets
AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssetsOtherReceivables
AdditionalAmortizationExpense
AdditionalAmountOfFundingToJointVenture
AdditionalAmountToDeclareStockholderAsAcquiringPersonPercentage
AdditionalAreaOfRentedSpace
AdditionalBorrowingCapacitySubjectToAvailability
AdditionalCapital
AdditionalCapitalContributionsToVariableInterestEntity
AdditionalCapitalRepresentingCompanysAggregateCapitalCommitmentLessCapitalContributionsMade
AdditionalCashCompensationToBeReceivedBasedOnConditionsMet
AdditionalCashReceived
AdditionalCollateralAggregateFairValue
AdditionalCollateralContingentAmountSelfInsured
AdditionalCommonStockAggregateGrossSales
AdditionalCommonStockCapitalSharesReservedForFutureIssuance
AdditionalDebtIssuanceCostsNet
AdditionalDepositAmount
AdditionalEmployerContributionOnFirst40000PayrollDeductions
AdditionalEquityContributionToEquityMethodInvestment
AdditionalEquityMethodInvestmentOwnershipPercentage
AdditionalExpensesRelatingToPriorDiscontinuedOperations
AdditionalFundValue
AdditionalFundingExpenseForResearchAndDevelopment
AdditionalFundingForResearchAndDevelopment
AdditionalGoodwill
AdditionalInterestEarned
AdditionalInvestmentForNewClassOfPreferredStockOfEntity
AdditionalInvestmentHeldInTrustAccountUponClosingWarrantsOffering
AdditionalInvestmentRightsGranted
AdditionalLeaseFacility
AdditionalLessorOperatingLeasePaymentsToBeReceived
AdditionalLoansFromRelatedPartyForWorkingCapital
AdditionalMilestonePayment
AdditionalMilestonePaymentReceived
AdditionalNetLossPerShare
AdditionalNonrefundableAndNoncreditablePayment
AdditionalOwnershipInterestHeldForSale
AdditionalPaidInCapitalBeneficialConversionFeature
AdditionalPaidInCapitalCommonStock
AdditionalPaidInCapitalCostOfTreasuryShares
AdditionalPaidInCapitalSharePremium
AdditionalPaidInKindInterestDueOnCompletion
AdditionalPaidInKindInterestToBePaidYearOne

AdditionalPaymentRequiredToExerciseLicenseOption
AdditionalPercentageOfFundToBeWithdrawnContingentUponFinancialAuditAndTechnicalProgressReport
AdditionalProceedsFromResearchAndDevelopmentReimbursementFromAmendment
AdditionalProceedsReceivableOnMilestoneAchievements
AdditionalProvisionsOtherProvisions
AdditionalPurchasePriceBusinessCombination
AdditionalReceivableBasedOnAchievementOfResearchMilestones
AdditionalRecognitionGoodwill
AdditionalRestructuringCostToBeRecognized
AdditionalSecuredNote
AdditionalSharesAcquiredFromSubsidiary
AdditionalSharesOfCommonStockAvailableForPurchase
AdditionalSharesOfPreferredStockAvailableForPurchase
AdditionalSharesToBeIssued
AdditionalStockInvestmentEligibilityUponRegulatoryApproval
AdditionalTaxComplementedByApplicationOfTaxOnDistributionOfDividendsConditionOne
AdditionalTaxComplementedByApplicationOfTaxOnDistributionOfDividendsConditionTwo
AdditionalTaxExpenseBenefit
AdditionalTaxExpenseThatMayBeRecognized
AdditionalTaxFreeAllowanceRate
AdditionalTaxFreeAllowanceRateNewInvestments
AdditionalTaxFreeAllowanceRateSubjectToTransitionalRules
AdditionalTimeCharterDailyRateToBeCharged
AdditionalTrueUpCommonStockConsiderationLiabilityAtFairValue
AdditionalTrueUpCommonStockConsiderationLiabilityAtFairValueRemeasured
AdditionalUnitsIssuedDuringPeriodSharesNewIssues
Additionalequitymethodinvestmentownershippercentage
AdditionsAndTransfersPropertyPlantAndEquipment
AdditionsIncludingRemeasurementsAndCancellation
AdditionsOtherThanThroughBusinessCombinationInventories
AdditionsOtherThanThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill
AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment
AdditionsToDeferredCostsAcquiredContractBacklogAndAccruedRevenue
AdditionsToInventory
AdditionsToLeaseLiabilities
AdditionsToNewbuildings
AdditionsToNoncurrentAssets
AdditionsToPropertyPlantAndEquipmentNoncash
AdditionsToRightofuseAssets
AdditionsToSoftwareNoncash
AdditionsToVessels
Additionsincludingthroughbusinesscombinationsintangibleassetsotherthangoodwill
AdditonalUpfrontPaymentReceivedFromAmendment
AdjustableDebtInstrumentReferenceInterestRateFloorPercentage
AdjustedAmountOfNominalDamagesClaimed
AdjustedEBITDA
AdjustedPercentageOfCharterRevenuesEarnedCompanyAgreesToPayAsProfitSharingExpenseInExcessOfOriginalThresholdRate
AdjustedPercentageOfHigherOfTheMarketValueAndTheNewlyIssuedPriceForRedemptionOfWarrantsForCash
AdjustedPercentageOfHigherOfTheMarketValueAndTheNewlyIssuedPriceForRedemptionOfWarrantsForSharesOfCommonStock
AdjustedShareholdersEquity
AdjustedWeightedAverageShares
AdjustmentDepreciation
AdjustmentForAmortization
AdjustmentForFairValueLiabilityUnderLicenseAgreement
AdjustmentForGainsLossesOnNetMonetaryPosition
AdjustmentForLongTermIntercompanyTransactionsGrossOfTax
AdjustmentForPreSeparationTaxMatters
AdjustmentForUncertaintyInExternalObligationRestructuringAmount
AdjustmentInCapitalLeaseObligationWhichResultedFromReassessmentOfLeasesDueToChangeInLeaseTerms
AdjustmentInContingentLiability
AdjustmentInValueOfContingency
AdjustmentOfAmortizedCostAndFairValueOfInvestmentSecurities
AdjustmentOfExercisePriceOfWarrantsBasedOnMarketValueAndNewlyIssuedPrice
AdjustmentOfOperatingLeasesOthers
AdjustmentOfWarrantsGrantedForServices
AdjustmentToAdditionalPaidInCapitalCommonEquivalentPreferredDividend
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet
AdjustmentToAdditionalPaidInCapitalRemeasurementOfPossibleRedemption
AdjustmentToAdditionalPaidUpCapital
AdjustmentToApicDeferredTaxLiabilityDueToChangeInValuationAllowance
AdjustmentToContributedSurplus
AdjustmentToFairValueOfGoodwillBasedOnFinalPurchasePriceAllocation
AdjustmentToLegalReserve
Adjustmentincapitalleaseobligationduetoleasetermination
Adjustmentincapitalleaseobligationwithequalandoppositeimpactonrelatedpartybalance
AdjustmentsAndInterestFromOtherReceivables
AdjustmentsForAcquisitionOfTheRightsOfTheArbitrationProceeding
AdjustmentsForAmortizationOfAcquiredTimeCharters
AdjustmentsForAmortizationOfDeferredCharges
AdjustmentsForContingentRentalIncome
AdjustmentsForCurrentTaxOfPriorPeriod
AdjustmentsForDecreaseIncreaseFinancialAssetsInGuarantee
AdjustmentsForDecreaseIncreaseFromInvestmentsInEquityInstruments
AdjustmentsForDecreaseIncreaseFromOperatingAssetsOtherDebtSecurities
AdjustmentsForDecreaseIncreaseFromOperatingAssetsToNonfinancialPrivateSectorAndResidentsAbroad
AdjustmentsForDecreaseIncreaseFromOperatingAssetsToNonfinancialPublicSector
AdjustmentsForDecreaseIncreaseFromOperatingAssetsToOtherFinancialEntities
AdjustmentsForDecreaseIncreaseInContractAssets
AdjustmentsForDecreaseIncreaseInDerivativeFinancialAssets
AdjustmentsForDecreaseIncreaseInFinancialAssetsAtFairValueThroughProfitOrLoss
AdjustmentsForDecreaseIncreaseInInventories
AdjustmentsForDecreaseIncreaseInOperatingAssetsDebtSecuritiesAtFairValueThroughProfitOrLoss
AdjustmentsForDecreaseIncreaseInOtherAssets
AdjustmentsForDecreaseIncreaseInOtherOperatingAssetsLiabilities
AdjustmentsForDecreaseIncreaseInOtherOperatingReceivables
AdjustmentsForDecreaseIncreaseInPrepaidExpenses
AdjustmentsForDecreaseIncreaseInRepoTransactionsAssets
AdjustmentsForDecreaseIncreaseInTradeAccountReceivable
AdjustmentsForDecreaseIncreaseInVoyagesInProgress
AdjustmentsForDeferredTaxOfPriorPeriods
AdjustmentsForDepreciationAndAmortisationExpense
AdjustmentsForDepreciationExpense
AdjustmentsForDifferenceInQuotedPricesOfGoldAndForeignCurrency
AdjustmentsForDoubtfulAccounts
AdjustmentsForEffectOfInflationOnCashAndCashEquivalents
AdjustmentsForFinanceIncome
AdjustmentsForFinanceIncomeCost
AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment
AdjustmentsForGainLossOnMarketableSecurities
AdjustmentsForGainsLossesOnChangeInFairValueOfDerivatives
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLossExplorationAndEvaluationAssets
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLossPropertyPlantAndEquipment
AdjustmentsForIncreaseDecreaseFromOperatingLiabilitiesAtFairValueWithChangesInResults
AdjustmentsForIncreaseDecreaseFromOperatingLiabilitiesFinancialSector
AdjustmentsForIncreaseDecreaseFromOperatingLiabilitiesNonfinancialPublicSector
AdjustmentsForIncreaseDecreaseFromOperatingLiabilitiesPrivateNonfinancialSectorAndResidentsAbroad
AdjustmentsForIncreaseDecreaseFromOperatingLiabilitiesRepoOperations
AdjustmentsForIncreaseDecreaseInAccruedExpenses
AdjustmentsForIncreaseDecreaseInAdvancesFromCustomers
AdjustmentsForIncreaseDecreaseInContractLiabilities
AdjustmentsForIncreaseDecreaseInDerivativeFinancialLiabilities
AdjustmentsForIncreaseDecreaseInIncomeTaxesPayable
AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities
AdjustmentsForIncreaseDecreaseInOtherLiabilities
AdjustmentsForIncreaseDecreaseInOtherOperatingPayables
AdjustmentsForIncreaseDecreaseInPayrollAndSocialSecurityTaxes
AdjustmentsForIncreaseDecreaseInPayrollAndSocialSecurityTaxesPayable
AdjustmentsForIncreaseDecreaseInProvisions
AdjustmentsForIncreaseDecreaseInRelatedPartyBalances
AdjustmentsForIncreaseDecreaseInTaxPayable
AdjustmentsForIncreaseDecreaseInTradeAccountPayable
AdjustmentsForInterestExpense
AdjustmentsForLossOnLeaseTerminations
AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets
AdjustmentsForOtherOperatingGains
AdjustmentsForProvisions
AdjustmentsForSharebasedPayments
AdjustmentsForUndistributedProfitsOfAssociates
AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod
AdjustmentsForUnrealisedForeignExchangeLossesGains
AdjustmentsFromOtherReceivablesWithCerClauses
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation
AdjustmentsToAdditionalPaidInCapitaForgivenessOfRelatedPartyDebt
AdjustmentsToAdditionalPaidInCapitalAccretionOfConvertiblePreferredStock
AdjustmentsToAdditionalPaidInCapitalAndStockholderNoteReceivable
AdjustmentsToAdditionalPaidInCapitalCancellationOfSharesHeldInTreasuryValue
AdjustmentsToAdditionalPaidInCapitalCapitalContribution
AdjustmentsToAdditionalPaidInCapitalCapitalContributions
AdjustmentsToAdditionalPaidInCapitalConsiderationFromRelatedPartyForTaxCreditsUtilized
AdjustmentsToAdditionalPaidInCapitalContingentShareAmount
AdjustmentsToAdditionalPaidInCapitalContributionFromShareholder
AdjustmentsToAdditionalPaidInCapitalContributionsFromParentFunding
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature
AdjustmentsToAdditionalPaidInCapitalCostsIncreaseInCarryingAmountOfRedeemableCommonStock
AdjustmentsToAdditionalPaidInCapitalDeemedDividends
AdjustmentsToAdditionalPaidInCapitalDeemedDividendsInExcessOfRetainedEarnings
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings
AdjustmentsToAdditionalPaidInCapitalEffectOfDiscontinuedOperations
AdjustmentsToAdditionalPaidInCapitalEmployeeTerminationOptionRepurchase
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustments
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustmentsThree
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustmentsTwo
AdjustmentsToAdditionalPaidInCapitalExcessOfCashReceivedOverFairValueOfPrivatePlacementWarrants
AdjustmentsToAdditionalPaidInCapitalFairValueOfSponsorSharesTransferredToExtensionInvestors
AdjustmentsToAdditionalPaidInCapitalFairValueOfWarrantIssued
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation
AdjustmentsToAdditionalPaidInCapitalIncreaseFromContributionOfCapital
AdjustmentsToAdditionalPaidInCapitalIncreaseFromSPACTrustProceeds
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemableCommonStock
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock
