sheet,gaap
,DeferredTaxLiabilitiesLeasingArrangements
,DeferredTaxLiabilitiesMinimumTaxonForeignEarnings
,DeferredTaxLiabilitiesNoncurrent
,DeferredTaxLiabilitiesOther
,DeferredTaxLiabilitiesOtherComprehensiveIncome
,DeferredTaxLiabilitiesUndistributedForeignEarnings
,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries
,DeferredTaxLiabilityRelatedToAmountsThatMayBeRepatriated
,DefinedContributionPlanContributionRate
,DefinedContributionPlanContributionRatesAsPercentageOfEmployeesEarnings
,DefinedContributionPlanCostRecognized
,DefinedContributionPlanEmployeeAnnualContributionMaximum
,DefinedContributionPlanEmployerMatchingContributionPercent
,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch
,DefinedContributionPlanMaximumAnnualContributionPerEmployeeAmount
,DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount
,DeliverablesInArrangement
,Depreciation
,DepreciationAmortizationAndAccretionNet
,DepreciationAndAmortization
,DepreciationDepletionAndAmortization
,DerivativeAssetFairValueGrossAssetIncludingNotSubjectToMasterNettingArrangement
,DerivativeAssetsReducedForMasterNettingArrangements
,DerivativeAssetsReductionForMasterNettingArrangementsIncludingTheEffectsOfCollateral
,DerivativeAssetsReductionforMasterNettingArrangements
,DerivativeCollateralObligationToReturnCash
,DerivativeCounterpartyCreditRiskExposure
,DerivativeFairValueOfDerivativeAsset
,DerivativeFairValueOfDerivativeLiability
,DerivativeFairValueOfDerivativeNet
,DerivativeGainLossOnDerivativeNet
,DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet
,DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet
,DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet
,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet
,DerivativeLiabilitiesReducedForMasterNettingArrangements
,DerivativeLiabilitiesReductionForMasterNettingArrangementsIncludingTheEffectsOfCollateral
,DerivativeLiabilitiesReductionforMasterNettingArrangements
,DerivativeLiabilityFairValueGrossLiabilityIncludingNotSubjectToMasterNettingArrangement
,DerivativeNotionalAmount
,DividendAmountPerSharePayableInSubsequentPeriods
,Dividends
,DividendsAndDividendEquivalentsDeclaredOnCommonStockAndRestrictedStockUnits
,EarningsPerShareBasic
,EarningsPerShareDiluted
,EffectiveIncomeTaxRateContinuingOperations
,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate
,EffectiveIncomeTaxRateReconciliationFdiiAmount
,EffectiveIncomeTaxRateReconciliationForeignDerivedIntangibleIncomeDeductionAmount
,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential
,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount
,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Amount
,EmployeeCommonStockPurchasesThroughPayrollDeductionsPriceAsPercentageOfFairMarketValue
,EmployeeRelatedLiabilitiesCurrent
,EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards
,EmployeeServiceShareBasedCompensationCashUsedToPayTaxesForEquityNetShareSettlement
,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized
,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition
,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense
,EmployeeServiceShareBasedCompensationUnrecognizedCompensationCostsOnNonvestedAwards
,EmployeeServiceShareBasedCompensationUnrecognizedCompensationCostsOnNonvestedAwardsWeightedAveragePeriodOfRecognition
,EmployeeStockPurchasePlanMaximumAnnualPurchasesPerEmployeeAmount
,EmployeeStockPurchaseProgramAuthorizedAmount
,EntityCommonStockSharesOutstanding
,EntityPublicFloat
,EntityWideDisclosureOnGeographicAreasLongLivedAssetsTotal
,EquityInstrumentsOtherThanOptionsSharesNetShareSettledToCoverWithholdingTaxes
,EquitySecuritiesFVNIAccumulatedGrossUnrealizedGainBeforeTax
,EquitySecuritiesFVNIAccumulatedGrossUnrealizedLossBeforeTax
,EquitySecuritiesFvNi
,EquitySecuritiesFvNiCost
,EquitySecuritiesFvNiCurrentAndNoncurrent
,EquitySecuritiesWithoutReadilyDeterminableFairValueAmount
,EstimateOfSellingPriceForSoftwareUpgradeRight
,EstimatedLifeOfRelatedHardwareDevice
,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities
,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities
,FactorByWhichEachRSUGrantedReducesAndEachRSUCanceledOrShareWithheldForTaxesIncreasesSharesAvailableForGrant
